121.50000000009524 BLA 15
246.20000000012172 BLA 25
203.80000000011208 BLA 35
206.90000000011278 BLA 45
272.1000000001276 BLA 85
213.20000000011422 BLA 165
85.00000000009732 BLA 175
124.20000000009509 BLA 205
335.9000000001421 BLA 235
48.40000000009939 BLA 295
364.80000000014866 BLA 325
57.40000000009888 BLA 365
96.70000000009665 BLA 425
111.30000000009582 BLA 435
467.70000000017205 BLA 505
121.70000000009523 BLA 555
55.300000000099 BLA 635
129.90000000009528 BLA 645
427.5000000001629 BLA 645
149.8000000000998 BLA 755
321.60000000013883 BLA 755
47.20000000009946 BLA 795
278.8000000001291 BLA 795
395.3000000001556 BLA 815
490.20000000017717 BLA 825
339.6000000001429 BLA 925
218.0000000001153 BLA 935
392.00000000015484 BLA 965
277.60000000012883 BLA 995
626.2000000000783 BLA 195
548.6000000001488 BLA 245
564.8000000001341 BLA 315
642.1000000000638 BLA 405
508.20000000018126 BLA 465
516.500000000178 BLA 565
667.4000000000408 BLA 615
640.2000000000655 BLA 645
829.5999999998933 BLA 645
689.4000000000208 BLA 755
569.4000000001299 BLA 795
946.1999999997872 BLA 795
963.6999999997713 BLA 935
958.1999999997763 BLA 945
918.2999999998126 BLA 965
666.7000000000414 BLA 995
794.0999999999256 BLA 995
1245.599999999515 BLA 15
1324.599999999443 BLA 335
1054.199999999689 BLA 365
1370.899999999401 BLA 505
1034.6999999997067 BLA 525
1418.9999999993572 BLA 695
1487.7999999992946 BLA 725
1439.5999999993385 BLA 735
1003.2999999997353 BLA 745
1390.4999999993831 BLA 755
1235.3999999995242 BLA 815
1129.1999999996208 BLA 825
1411.3999999993641 BLA 905
1449.3999999993296 BLA 905
1277.1999999994862 BLA 925
1228.1999999995307 BLA 955
1440.9999999993372 BLA 955
1068.499999999676 BLA 965
1570.0999999992198 BLA 45
1832.2999999989813 BLA 135
1618.4999999991758 BLA 155
1507.7999999992765 BLA 175
1648.1999999991488 BLA 195
1998.1999999988304 BLA 235
1768.0999999990397 BLA 325
1656.0999999991416 BLA 395
1737.4999999990675 BLA 435
1615.6999999991783 BLA 575
1946.7999999988772 BLA 615
1892.2999999989268 BLA 645
1946.3999999988775 BLA 645
1650.4999999991467 BLA 735
1593.7999999991982 BLA 755
1983.9999999988434 BLA 755
1956.1999999988686 BLA 795
1821.8999999989908 BLA 905
1704.7999999990973 BLA 945
1707.399999999095 BLA 985
2366.6999999999443 BLA 15
2213.199999999386 BLA 25
2234.099999999462 BLA 205
2449.5000000002456 BLA 315
2109.599999999009 BLA 425
2089.299999998935 BLA 445
2161.0999999991964 BLA 485
2492.6000000004024 BLA 505
2293.0999999996766 BLA 525
2021.799999998809 BLA 555
2097.199999998964 BLA 645
2167.9999999992215 BLA 695
2125.3999999990665 BLA 735
2244.4999999995 BLA 755
2418.500000000133 BLA 825
2496.400000000416 BLA 925
2277.59999999962 BLA 935
2159.899999999192 BLA 955
2569.1000000006807 BLA 75
2886.900000001837 BLA 175
2881.1000000018157 BLA 195
2542.300000000583 BLA 245
2812.8000000015672 BLA 365
2753.8000000013526 BLA 465
2736.7000000012904 BLA 565
2729.0000000012624 BLA 575
2593.3000000007687 BLA 645
2724.200000001245 BLA 645
2846.50000000169 BLA 645
2933.8000000020074 BLA 645
2778.3000000014417 BLA 725
2659.8000000010106 BLA 755
2694.000000001135 BLA 795
2777.4000000014385 BLA 795
2595.4000000007763 BLA 815
2881.400000001817 BLA 815
2580.6000000007225 BLA 825
2629.8000000009015 BLA 915
2632.8000000009124 BLA 925
2868.7000000017706 BLA 965
2978.3000000021693 BLA 995
3396.2000000036896 BLA 25
3070.2000000025037 BLA 45
3193.1000000029508 BLA 235
3171.200000002871 BLA 295
3386.0000000036525 BLA 325
3116.3000000026714 BLA 485
3322.7000000034222 BLA 615
3081.900000002546 BLA 745
3249.800000003157 BLA 755
3328.2000000034423 BLA 795
3499.5000000040654 BLA 815
3091.700000002582 BLA 825
3481.800000004001 BLA 905
3038.2000000023872 BLA 965
3091.9000000025826 BLA 995
3822.5000000052405 BLA 15
3788.4000000051165 BLA 85
3553.800000004263 BLA 165
3513.5000000041164 BLA 205
3919.2000000055923 BLA 245
3790.4000000051237 BLA 365
3585.400000004378 BLA 405
3670.600000004688 BLA 425
3596.700000004419 BLA 505
3587.7000000043863 BLA 525
3906.800000005547 BLA 555
3689.100000004755 BLA 745
3595.000000004413 BLA 755
3797.8000000051507 BLA 755
3873.4000000054257 BLA 755
3747.5000000049677 BLA 905
3652.9000000046235 BLA 955
3835.000000005286 BLA 955
3724.000000004882 BLA 985
4433.800000007464 BLA 45
4372.300000007241 BLA 135
4342.200000007131 BLA 155
4296.800000006966 BLA 175
4176.100000006527 BLA 315
4074.700000006158 BLA 435
4436.100000007473 BLA 445
4107.500000006277 BLA 465
4042.500000006041 BLA 485
4112.000000006294 BLA 565
4058.6000000060994 BLA 635
4023.4000000059714 BLA 645
4355.2000000071785 BLA 645
4287.500000006932 BLA 685
4022.500000005968 BLA 695
4162.400000006477 BLA 695
4049.5000000060663 BLA 795
4050.800000006071 BLA 815
4250.800000006799 BLA 815
4400.100000007342 BLA 825
4095.2000000062326 BLA 905
4178.900000006537 BLA 995
4191.500000006583 BLA 995
4219.900000006686 BLA 995
4595.300000008052 BLA 165
4947.000000009331 BLA 205
4645.500000008235 BLA 235
4980.900000009455 BLA 325
4844.700000008959 BLA 505
4644.30000000823 BLA 645
4809.900000008833 BLA 705
4699.400000008431 BLA 755
4597.800000008061 BLA 795
4729.300000008539 BLA 935
4734.0000000085565 BLA 945
