178.10000000010623 BLA 29
320.00000000013847 BLA 39
121.80000000009522 BLA 59
294.6000000001327 BLA 119
395.7000000001557 BLA 159
123.30000000009514 BLA 179
417.3000000001606 BLA 289
128.60000000009498 BLA 319
257.90000000012435 BLA 339
121.10000000009526 BLA 359
96.30000000009667 BLA 369
52.80000000009914 BLA 379
107.10000000009606 BLA 449
56.900000000098906 BLA 469
125.40000000009502 BLA 489
62.40000000009859 BLA 509
297.00000000013324 BLA 569
62.80000000009857 BLA 609
50.0000000000993 BLA 629
254.0000000001235 BLA 669
262.80000000012546 BLA 739
59.70000000009875 BLA 749
204.60000000011226 BLA 749
384.4000000001531 BLA 799
451.1000000001683 BLA 849
53.20000000009912 BLA 909
84.60000000009734 BLA 909
151.1000000001001 BLA 949
207.30000000011287 BLA 949
321.70000000013886 BLA 949
383.1000000001528 BLA 969
454.7000000001691 BLA 989
53
176.80000000010594 BLA 953
308.7000000001359 BLA 953
364.80000000014866 BLA 973
226.50000000011724 BLA 983
244.00000000012122 BLA 983
466.40000000017176 BLA 993
