node_ids,timestamps
0,8134.5834779650695
0,8258.546309146112
0,8390.600322779695
1,8011.490043677241
1,8154.491912839346
1,8254.650092415284
1,8374.225333439159
2,8134.241065405852
2,8235.776223651012
2,8389.770228260053
3,8009.2840408020365
3,8135.186137531553
3,8248.59053416732
3,8372.267183899334
4,8011.929748309833
4,8136.2411504125375
4,8259.022777769007
4,8388.169696875715
5,8001.851018070477
5,8139.134369552186
5,8239.722317013122
5,8381.5599922883
5,8498.112581446872
6,8021.551353518845
6,8165.887391286994
6,8242.928913570613
6,8375.021443807025
6,8474.56958321047
7,8005.272157524505
7,8108.208341969467
7,8243.104278439567
7,8384.976012026478
8,8004.971128605588
8,8114.68125719875
8,8245.849870334838
8,8367.11272613284
9,8130.720376400205
9,8274.273401299224
9,8368.422424917666
9,8496.50399083285
10,8003.354744821594
10,8104.783909423201
10,8237.843701032967
10,8356.01084025142
10,8496.838659018735
11,8129.12673255692
11,8225.248654736712
11,8372.737186267044
12,8008.177984449608
12,8134.736423283035
12,8272.071674025923
12,8375.16020209637
13,8146.55662430563
13,8262.326068889777
13,8359.140811628555
14,8000.8588654935265
14,8134.328913437686
14,8265.438655886632
14,8369.121994025867
15,8009.860878116804
15,8118.425717951243
15,8247.687685947772
15,8390.811320842035
15,8481.460553032559
16,8006.033009455115
16,8101.111993542816
16,8255.779044042385
16,8366.808859157134
16,8498.97088452881
17,8001.349848402223
17,8118.068863653257
17,8228.215862752573
17,8369.59592618402
18,8009.584935281722
18,8102.719282492355
18,8256.186242013348
18,8357.053953038796
19,8107.637208908544
19,8244.805028693672
19,8385.70396087799
19,8486.407630307016
20,8113.109058141742
20,8259.559396994631
20,8406.362718656366
20,8496.513543153853
21,8014.060863977107
21,8137.058376125854
21,8243.013363820664
21,8373.72348847531
22,8095.971342506081
22,8231.835593604297
22,8369.841160987558
23,8119.858264447261
23,8235.779920712648
23,8362.855246938007
24,8005.074912211272
24,8114.1055668087
24,8262.447428193578
24,8390.489316818095
25,8013.837756009424
25,8112.268553548423
25,8248.109314444526
25,8391.163748401475
25,8492.750563027868
26,8106.486815446612
26,8234.834312238467
26,8381.051283182607
26,8495.726978319495
27,8116.899084720165
27,8246.389732904032
27,8372.45924865689
28,8017.765714816964
28,8121.071612984658
28,8260.842938968131
28,8395.536739147083
28,8491.035781803677
29,8109.710111247631
29,8240.777199112634
29,8348.706863788457
30,8000.844615123972
30,8138.0871501853935
30,8269.382468140904
30,8368.570572084924
31,8122.522128329669
31,8269.594571408052
31,8358.12964766285
32,8136.223831538251
32,8225.74501907672
32,8397.472628117377
33,8012.097193707941
33,8130.144104579602
33,8260.156338582856
33,8346.351942902978
34,8131.504474551525
34,8246.151818138993
34,8361.723870031698
34,8490.46952461757
35,8022.312924511945
35,8106.734432515381
35,8239.514517485763
35,8363.978752325105
36,8013.371238094763
36,8110.877709827383
36,8252.961637424434
36,8357.157292357839
36,8491.713927025565
37,8114.219451036549
37,8221.871743688675
37,8379.506366299882
37,8489.240660824818
38,8135.50973513318
38,8237.523244010119
38,8362.080352100154
39,8014.8982213767185
39,8123.7975963788895
39,8264.93207990421
39,8378.318844686917
40,8132.264923931684
40,8229.888686592987
40,8382.475241851638
41,8015.078085914267
41,8160.90224052366
41,8236.254860778956
41,8382.829518935574
42,8153.809960486935
42,8232.009429573565
42,8359.38557523081
43,8004.973274078687
43,8143.445181153492
43,8267.349379298632
43,8371.24042985542
43,8473.800220327112
44,8118.565931899139
44,8243.756159497785
44,8407.195824291613
44,8489.13984857834
45,8001.222425265451
45,8126.0625873826075
45,8251.016778251276
45,8374.460188808258
45,8497.743878672916
46,8107.23220927286
46,8261.217982256692
46,8367.921362673804
46,8492.487048221845
47,8126.34987792805
47,8214.806030217638
47,8361.095401083938
47,8494.9576320787
48,8002.746098153628
48,8138.347045784705
48,8235.133169826473
48,8371.981748172628
48,8482.434793970791
49,8110.794446933046
49,8238.880098075793
49,8383.767943948998
50,8138.330727231738
50,8235.20420999121
50,8391.034799441579
51,8123.82801554595
51,8234.140511572947
51,8385.447907480568
51,8479.272824909376
52,8005.569796657406
52,8107.236470569839
52,8272.020054532064
52,8364.399737303793
53,8131.206022693201
53,8246.375613316583
53,8357.70334214774
53,8469.914559252482
54,8003.173106660631
54,8118.7829876356045
54,8250.492870382755
54,8382.474015999225
55,8115.979079022061
55,8251.884659034897
55,8374.959681557557
56,8145.659873033226
56,8275.428122428973
56,8397.770537122053
57,8026.369322378365
57,8115.700668226406
57,8252.617489942355
57,8337.777976495216
58,8003.739250346399
58,8120.092585722549
58,8223.716113573875
58,8384.500882376276
58,8497.304112933301
59,8113.460904138052
59,8267.008440965556
59,8378.035943822933
59,8484.848104741763
60,8130.4683495584895
60,8232.76646862816
60,8381.083544298162
61,8002.04270687498
61,8123.434520426793
61,8228.98143930924
61,8381.38505367124
62,8132.163658817511
62,8242.513988277895
62,8367.079016500604
62,8481.276328391945
63,8016.514136911754
63,8100.111003043501
63,8273.126529928084
63,8336.83512118259
63,8494.333435782679
64,8144.578313685908
64,8242.759925869594
64,8356.956957074188
65,8137.303586983354
65,8245.282468226742
65,8389.985848600138
65,8495.179268123273
66,8130.818977405796
66,8234.635483193413
66,8377.966890236698
66,8486.620966417087
67,8003.497814990562
67,8150.403776644467
67,8269.931613350136
67,8369.839646636041
68,8124.1061650423735
68,8262.659072558763
68,8343.06496053853
68,8492.744313782707
69,8125.323037138079
69,8248.849239419167
69,8356.314458814724
69,8490.255758859963
70,8003.377127274664
70,8103.455727869287
70,8265.309467764724
70,8386.346121057371
71,8112.417147103379
71,8256.300155711144
71,8377.67255738889
72,8137.304550922798
72,8237.116346648412
72,8392.872454841396
72,8480.13351568065
73,8001.222274533525
73,8122.592090933589
73,8251.044932394274
73,8384.909269422453
73,8494.045547237976
74,8115.8370269514535
74,8251.182492572014
74,8371.120628568271
74,8493.226738930081
75,8149.207961494383
75,8255.961357461661
75,8352.690329048477
75,8493.28486226167
76,8019.245084938351
76,8126.124593149846
76,8251.92714891938
76,8384.363141478909
77,8007.5939060169685
77,8125.569957580041
77,8239.739017040898
77,8374.72567729779
78,8129.699021947326
78,8221.31806381508
78,8361.606610493964
79,8012.293584062308
79,8160.237560376626
79,8253.115382067337
79,8379.413154340935
79,8489.047775238429
80,8149.620615972829
80,8244.632706312745
80,8390.415435597935
80,8492.359672715778
81,8128.964834679964
81,8253.243145072183
81,8374.569239797313
81,8495.519121173285
82,8140.207190567029
82,8242.348349702437
82,8389.92802851234
82,8496.897841512608
83,8111.2472283727575
83,8243.04607906527
83,8381.434643713701
83,8480.82487807417
84,8108.83014616476
84,8248.1834619958
84,8379.636620274427
84,8473.59611793846
85,8000.332611368945
85,8132.997546172175
85,8249.942826428463
85,8389.691431310828
85,8490.851111967979
86,8127.029136527737
86,8293.844610317828
86,8385.476270873089
87,8003.91741124926
87,8136.076445315524
87,8259.280200126259
87,8386.7786100926
88,8129.753350326796
88,8250.359221246063
88,8390.373564502197
89,8010.164432890559
89,8113.756008970794
89,8246.647313564219
89,8358.221487481835
89,8483.003991962663
90,8000.858428805417
90,8122.301170881982
90,8253.935761852423
90,8354.239958941153
90,8481.57669323118
91,8144.413317479598
91,8255.54066011215
91,8382.240498842604
91,8496.677449261166
92,8002.953536459638
92,8120.704167364784
92,8261.456365485272
92,8380.700677895156
93,8104.50037245814
93,8239.927321064126
93,8394.04662471299
94,8105.921114017683
94,8256.40877898786
94,8368.165906206326
95,8156.615346747562
95,8244.037637516967
95,8387.018605830051
96,8132.8107797948305
96,8255.328003295106
96,8373.961992692733
97,8119.207930489281
97,8248.074066029269
97,8399.109200191137
98,8097.6204744593015
98,8252.259551844689
98,8361.35655100623
98,8493.214417262392
99,8116.1098911854615
99,8250.293526089468
99,8359.195651394253
99,8483.578878621274
