Cell_Af,Cell_Cf,InterneuronCellf,SOM_Cell,CR_Cell
-70.01238619887526,-70.01238619887526,-69.99996747755307,-70.0,-68.38558432340191
-70.0128319446409,-70.0128319446409,-69.99996668594036,-70.0,-68.34599041670329
-70.01327792354915,-70.01327792354915,-69.99996589826577,-70.0,-68.30658345906369
-70.013724057207,-70.013724057207,-69.99996511450968,-70.0,-68.26736256777235
-70.01417027387282,-70.01417027387282,-69.9999643346526,-70.0,-68.22832686428634
-70.01461650781637,-70.01461650781637,-69.99996355867515,-70.0,-68.18947547421095
-70.01506269874706,-70.01506269874706,-69.99996278655802,-70.0,-68.15080752728004
-70.01550879130258,-70.01550879130258,-69.99996201828199,-70.0,-68.11232215733656
-70.01595473459096,-70.01595473459096,-69.99996125382799,-70.0,-68.07401850231322
-70.01640048177991,-70.01640048177991,-69.99996049317697,-70.0,-68.03589570421306
-70.01684598972818,-70.01684598972818,-69.99995973631005,-70.0,-67.9979529090903
-70.01729121865436,-70.01729121865436,-69.99995898320836,-70.0,-67.96018926703124
-70.01773613183886,-70.01773613183886,-69.99995823385319,-70.0,-67.92260393213515
-70.01818069535561,-70.01818069535561,-69.9999574882259,-70.0,-67.88519606249535
-70.01862487783022,-70.01862487783022,-69.99995674630794,-70.0,-67.84796482018041
-70.01906865022174,-70.01906865022174,-69.99995600808087,-70.0,-67.81090937121526
-70.01951198562566,-70.01951198562566,-69.99995527352633,-70.0,-67.77402888556263
-70.0199548590957,-70.0199548590957,-69.99995454262603,-70.0,-67.73732253710438
-70.02039724748272,-70.02039724748272,-69.9999538153618,-70.0,-67.70078950362301
-70.02083912928865,-70.02083912928865,-69.99995309171555,-70.0,-67.6644289667833
-70.02128048453417,-70.02128048453417,-69.99995237166928,-70.0,-67.6282401121139
-70.02172129463868,-70.02172129463868,-69.9999516552051,-70.0,-67.59222212898909
-70.02216154231104,-70.02216154231104,-69.99995094230518,-70.0,-67.5563742106107
-70.02260121145049,-70.02260121145049,-69.99995023295178,-70.0,-67.52069555398997
-70.02304028705629,-70.02304028705629,-69.99994952712724,-70.0,-67.48518535992956
-70.02347875514539,-70.02347875514539,-69.99994882481404,-70.0,-67.44984283300569
-70.02391660267739,-70.02391660267739,-69.99994812599469,-70.0,-67.41466718155027
-70.02435381748597,-70.02435381748597,-69.99994743065182,-70.0,-67.37965761763328
-70.02479038821622,-70.02479038821622,-69.99994673876813,-70.0,-67.34481335704503
-70.02522630426726,-70.02522630426726,-69.99994605032641,-70.0,-67.31013361927859
-70.02566155573973,-70.02566155573973,-69.99994536530954,-70.0,-67.27561762751232
-70.02609613338748,-70.02609613338748,-69.99994468370048,-70.0,-67.24126460859249
-70.02653002857339,-70.02653002857339,-69.99994400548228,-70.0,-67.20707379301592
-70.02696323322859,-70.02696323322859,-69.99994333063808,-70.0,-67.17304441491278
-70.02739573981505,-70.02739573981505,-69.99994265915107,-70.0,-67.1391757120294
-70.027827541291,-70.027827541291,-69.99994199100458,-70.0,-67.10546692571124
-70.0282586310791,-70.0282586310791,-69.99994132618195,-70.0,-67.07191730088586
-70.028689003037,-70.028689003037,-69.9999406646667,-70.0,-67.03852608604599
-70.02911865143014,-70.02911865143014,-69.99994000644233,-70.0,-67.00529253323278
-70.02954757090656,-70.02954757090656,-69.99993935149249,-70.0,-66.97221589801893
-70.02997575647353,-70.02997575647353,-69.99993869980086,-70.0,-66.93929543949213
-70.03040320347593,-70.03040320347593,-69.99993805135128,-70.0,-66.90653042023835
-70.03082990757606,-70.03082990757606,-69.99993740612759,-70.0,-66.87392010632543
-70.03125586473503,-70.03125586473503,-69.99993676411374,-70.0,-66.84146376728656
-70.03168107119525,-70.03168107119525,-69.99993612529379,-70.0,-66.80916067610397
-70.03210552346422,-70.03210552346422,-69.99993548965182,-70.0,-66.7770101091926
-70.03252921829942,-70.03252921829942,-69.99993485717204,-70.0,-66.74501134638393
-70.03295215269415,-70.03295215269415,-69.99993422783871,-70.0,-66.71316367090982
-70.03337432386434,-70.03337432386434,-69.99993360163617,-70.0,-66.68146636938648
-70.03379572923612,-70.03379572923612,-69.99993297854886,-70.0,-66.6499187317985
-70.03421636643436,-70.03421636643436,-69.99993235856127,-70.0,-66.61852005148285
-70.03463623327171,-70.03463623327171,-69.99993174165799,-70.0,-66.5872696251132
-70.03505532773849,-70.03505532773849,-69.99993112782367,-70.0,-66.55616675268404
-70.03547364799309,-70.03547364799309,-69.99993051704304,-70.0,-66.52521073749509
-70.03589119235305,-70.03589119235305,-69.9999299093009,-70.0,-66.49440088613562
-70.03630795928657,-70.03630795928657,-69.99992930458217,-70.0,-66.463736508469
-70.03672394740461,-70.03672394740461,-69.99992870287177,-70.0,-66.43321691761712
-70.03713915545333,-70.03713915545333,-69.99992810415476,-70.0,-66.40284142994514
-70.03755358230715,-70.03755358230715,-69.99992750841622,-70.0,-66.37260936504607
-70.03796722696204,-70.03796722696204,-69.99992691564137,-70.0,-66.3425200457256
-70.03838008852922,-70.03838008852922,-69.99992632581545,-70.0,-66.3125727979869
-70.03879216622934,-70.03879216622934,-69.99992573892378,-70.0,-66.2827669510155
-70.03920345938678,-70.03920345938678,-69.99992515495177,-70.0,-66.25310183716434
-70.03961396742443,-70.03961396742443,-69.9999245738849,-70.0,-66.2235767919387
-70.04002368985867,-70.04002368985867,-69.9999239957087,-70.0,-66.19419115398144
-70.04043262629465,-70.04043262629465,-69.9999234204088,-70.0,-66.16494426505808
-70.04084077642179,-70.04084077642179,-69.99992284797092,-70.0,-66.13583547004214
