x_axis_frequency,case1,case2,case3,case4,case5,case6
18,-5.7821395241690465e-06,2.362642464131173e-08,-8.360603586555067e-06,2.1314840140182168e-07,-2.867937328390206e-06,-1.5305017892766075e-06
19,1.5732453404832675e-05,1.4099269591493208e-06,1.1313694085996606e-05,4.5623210083147036e-06,2.6016463721059127e-05,9.934604381803945e-06
20,2.6417716349570474e-05,3.740236350028939e-06,4.034655699355793e-06,4.503880536775134e-06,2.4627147761318907e-05,3.6647012721974326e-06
21,1.5885321461651346e-06,1.5901659411468302e-06,-2.2030544064782434e-06,1.2859823271447325e-06,1.0350286787416637e-05,-2.5592048979116856e-06
22,-7.050795772358506e-06,-2.1397556276266853e-06,-4.648778431468536e-06,-1.8692719131806502e-07,-2.3967076747258182e-06,-1.556146842347406e-06
23,-2.905702770511561e-06,6.1273098731712755e-06,-2.822987795920778e-06,4.764749332294309e-06,1.3666021184097717e-06,3.941781186749968e-06
24,-2.5860394770597627e-06,3.7968562217474358e-06,-5.462347009283307e-06,7.05070848000142e-06,-1.015436087646786e-05,4.3679234470041845e-06
25,4.98626563983759e-07,-1.5113152435965922e-06,1.6371464606577985e-06,2.014938215765613e-06,-3.7968785052112977e-06,5.175692657804271e-06
26,-1.3515039325720132e-06,5.477207779604139e-06,-7.290479363951006e-07,7.364289371972198e-06,1.6554178279887372e-06,8.922492247351233e-06
27,2.1056978857916208e-05,2.418422806332392e-05,8.729887915634007e-06,1.0824152363126647e-05,2.103977332044023e-05,1.3302592297288036e-05
28,-1.8521159277436639e-06,4.410574287055126e-06,-2.5257204032656268e-08,1.7974728208814956e-06,-6.842913524564249e-06,5.264760836049315e-06
29,-3.581516322251479e-06,-9.57652961115776e-07,4.119766720273167e-06,-1.293347039204545e-06,-7.883151457500061e-06,4.642338526388032e-06
30,6.024284499029741e-06,8.789368632840155e-06,8.94946434288092e-06,1.11690955264444e-05,-1.5102007667502577e-06,1.1150547115904656e-05
31,2.3488250008376566e-06,9.737099176697493e-06,3.431285843490826e-06,6.097227705253817e-06,-2.7421195377149403e-07,7.889044020474515e-06
32,-5.094610207275316e-06,-3.194904274327312e-06,-9.971861244779737e-06,-1.5266813591683495e-06,6.520240261854396e-07,3.1518948543524043e-06
33,-5.042162250793137e-06,5.874152608769377e-06,4.312236693981061e-06,5.3486077370517015e-06,-8.822557586468687e-06,5.332491890175368e-06
34,1.6587929102049486e-05,1.0343974050400022e-05,1.28887208578895e-05,7.198296829057972e-06,1.4865392373851842e-05,7.094755038589743e-06
35,3.2063247376362377e-05,6.40004179478466e-06,1.6105221034308592e-05,5.768628651051361e-06,3.7643775525447895e-05,8.03041483009766e-06
36,3.1593052903867465e-05,1.0827560490534224e-05,2.1980386935933167e-05,5.7959907847664756e-06,5.001052671637302e-05,7.17703859736967e-06
37,7.771204327264947e-06,1.5318373161309586e-05,2.641401613736393e-05,5.5536292067071555e-06,2.1145232438936556e-05,6.438090551225822e-06
38,-6.502595354963875e-06,-1.9346088455375024e-06,-1.8388202135124164e-07,2.351588657297147e-07,-9.024231091279786e-06,3.049660805831659e-06
39,7.107972389807975e-06,7.66343207179688e-06,6.686202335763436e-06,-7.861638151715114e-07,-5.946406105521519e-07,4.402552870238416e-06
40,2.53206365022537e-05,1.7135826933301912e-05,2.8111516412057877e-05,4.573336808397646e-06,3.920217739624732e-05,4.371299813421812e-06
41,1.5247690289613337e-05,7.882633408591162e-06,1.4001904620737606e-05,-8.765142286440681e-07,2.154022036492438e-05,2.374690634017864e-06
42,-4.946560669809465e-07,-2.103101210517103e-06,6.949508172607487e-06,-4.531699170128808e-06,1.706687867350617e-05,-8.284497567561184e-07
43,5.361522705186035e-06,-7.910051131325728e-06,9.278064602066049e-08,-5.242354227251693e-06,4.4109302732106934e-05,3.892375558992038e-06
44,3.482606357500619e-06,-7.366555425814025e-07,7.15369286835746e-07,-2.5501401256745856e-06,2.732814880709654e-05,2.2486534337079647e-06
45,8.838303575183298e-06,4.096429415694913e-06,5.417300500391622e-06,2.0336540519216726e-06,1.9555082300317818e-05,9.910567612996225e-08
46,1.669317970345739e-05,9.072337318952332e-06,3.109078772186191e-05,3.4190777106026002e-06,2.166180497078106e-05,-3.590525057520116e-07
47,2.1632878621617677e-05,6.604922351046837e-06,1.7142492981960148e-05,-1.1671028339562255e-06,1.344498367286658e-05,-6.59207181191106e-07
48,2.2737872835832313e-05,7.3423825685438965e-06,1.0466461045818694e-05,2.515470610425201e-06,2.0942535780750038e-05,3.828186762548992e-06
49,3.925754554830401e-05,3.062097079177144e-06,9.316644211341133e-06,6.74087288725478e-06,3.4890942230480867e-05,5.9933133492822685e-06
50,3.674435406824567e-05,7.470866937739592e-06,2.3964169041392757e-05,8.5222236456061e-06,3.2664548702948974e-05,1.1172678611240925e-05
51,-5.654758817599037e-07,8.357464482841561e-07,1.0687014643692693e-05,3.800034501109837e-06,1.5754932251849487e-07,5.493287168398144e-06
52,1.290416572757964e-06,-7.840471868400639e-06,2.736216291054832e-06,6.285937664707833e-07,5.8355860214527735e-06,1.83041987095285e-07
53,8.205888324233779e-07,-7.588550523895669e-06,-5.864782755069746e-06,1.5571297783604812e-06,5.742761912829174e-06,-3.073451547676326e-07
54,2.6882464917256736e-06,-1.0208555452660427e-06,-5.934226273013999e-07,4.417211746282785e-06,4.704367866999884e-06,1.3667346954779588e-06
55,-4.324742824348657e-06,-1.7654307460147803e-06,-3.5453902028814477e-07,-3.000942796908721e-06,-8.967713789996016e-06,1.6713471031371142e-06
56,6.053954573890589e-06,1.43324448780814e-06,-1.9576397358321916e-06,3.403004545469098e-07,-3.1892487792812326e-06,1.6405556734586256e-06
57,-9.113746165730039e-07,-2.7667751859206846e-06,2.870992628484974e-06,-4.0260563361219874e-07,-5.042589808015806e-07,3.05602706178837e-09
58,-2.5785236868796087e-06,-6.509236381427807e-06,9.377032406855142e-08,5.099114357293149e-07,2.9342339688529547e-06,5.254572592289959e-06
59,2.924287447127039e-06,-8.513450744715191e-06,-5.7451118514691505e-06,-5.015470127709637e-06,6.485665087577761e-06,3.5555232804594263e-06
60,5.443754106622638e-06,-3.3676662948588506e-06,-1.4494244439607614e-06,-3.339701789535352e-06,1.4715202246926255e-05,3.471782550222861e-06
61,4.802499563506724e-06,2.0921007617288265e-06,5.446393508802022e-06,1.9765884162941705e-06,2.2571781330439948e-05,2.9945438696659446e-06
62,-5.159460314662414e-06,-8.249135317137807e-07,1.2061979355082239e-05,-3.017966999557153e-06,7.034593630834424e-06,3.1016643039463036e-06
63,3.013315099656921e-06,-1.409040353701781e-06,5.100853298605242e-06,-1.2779422099926491e-06,1.8320899326794323e-05,2.405670605092067e-06
64,4.0770291223741985e-06,3.674424559658074e-06,1.3451874475976078e-05,-2.722990066748125e-06,4.042287733431763e-05,6.285478946135967e-06
65,4.3847897656380606e-06,2.3018805815145502e-07,3.50499319764565e-06,-1.7877048332644817e-06,1.2437563496028142e-05,4.124373429066334e-06
66,8.570887132475584e-06,9.87160555771485e-07,-7.4771051424811945e-06,-3.6535716496195428e-06,-3.0115141365974982e-06,2.3255591319634368e-07
