x_axis_frequency,case1,case2,case3,case4,case5,case6
70,-6.065618140243053e-06,4.886053895706363e-06,-1.7086824761927311e-06,1.6539117596823879e-06,1.944795015462683e-06,-1.0719880343561338e-06
71,-1.0188527803298888e-06,2.2307462484621002e-06,-9.61067425245969e-07,-4.244822837617729e-06,1.7149885977896572e-05,-1.3047285014795845e-06
72,1.1582745938072685e-05,4.238066001159354e-07,3.1641705474366795e-06,-8.904783477243255e-07,1.2223976491547081e-05,-6.143950350958319e-07
73,1.4288254015477336e-05,3.7783673113541434e-06,1.4231554765485835e-06,4.139710850386811e-06,2.7590196151908313e-06,2.9388894065289126e-07
74,8.43370109513259e-06,1.2455756605747498e-06,3.2644437235728873e-06,6.56898908353364e-06,6.706392787767575e-06,2.379952401650555e-06
75,3.3522553022837128e-06,8.89115628651542e-06,6.646091215939923e-06,4.6527208635953485e-06,1.853003647737997e-05,-4.31880689132657e-07
76,8.153084679413897e-06,4.906299212554168e-06,7.629286815426875e-06,4.386165206786375e-06,2.892016853303715e-05,3.1918927309846533e-06
77,1.5597834531070997e-05,8.088314828803467e-06,1.9883348353885694e-05,8.0348325562231e-06,4.66249903020465e-05,5.0320905121004225e-06
78,7.581888593621957e-06,1.392926637090215e-05,1.8516661431934197e-05,3.0603046981086574e-06,1.9321598133610655e-05,1.8069711097605576e-06
79,-5.957287224438753e-06,1.1296596443394401e-05,2.099202141671933e-06,2.0612801494904176e-06,-4.941849740972396e-06,1.7825418467770052e-06
80,6.430368100406863e-06,1.261622265261485e-05,-1.0731322343436275e-07,5.0493994235494436e-08,4.429737102306683e-06,1.1009711441088197e-06
81,3.770482494910873e-06,1.9934728104894426e-06,-6.2942025945484925e-06,-2.2273566327694882e-06,8.871515073295474e-06,2.2760479946317097e-06
82,1.0071096828416039e-05,1.3232608218298938e-05,4.026750336555684e-06,5.459034890170873e-06,1.73671118495681e-05,1.929482614135225e-06
83,2.585480994410552e-05,2.8722323949112063e-05,4.12404104071594e-05,3.97338085991733e-06,3.0714356419876094e-05,3.3905970202326655e-06
84,3.462354959334773e-05,2.230497265167436e-05,6.044053822051427e-05,6.955166339701455e-06,4.9311007152286903e-05,2.373978936395376e-06
85,2.047529791012188e-05,1.2085737517488633e-05,2.875826544579524e-05,8.4564597356366e-06,2.638135228998415e-05,1.460281829987644e-07
86,1.213879403642364e-05,3.6832031110412527e-06,-7.940915748879316e-06,-8.159911923790198e-07,-4.938817824635652e-06,-9.400351006564388e-07
87,2.1348983423082737e-05,1.2060885622128387e-05,-6.6156106507386815e-06,7.17396640636019e-07,1.0735977813125328e-05,1.912724487561193e-06
88,2.6260345219379375e-05,1.7736837987344894e-05,1.6278537616571665e-05,5.428473382363913e-06,2.2219296313752816e-05,2.888044260016352e-06
89,1.673475175007088e-05,2.6805035303835923e-05,2.49210270815668e-05,1.712636799359229e-05,8.156456522361582e-06,-8.15851158610633e-07
90,1.0427234282248e-06,1.9708696810239695e-05,-4.673552960990203e-07,8.598888018563561e-06,-1.2364967322576686e-06,-4.845658728492694e-07
91,2.098502180822424e-05,1.3400506933895855e-05,2.0273893376154982e-06,2.6443090856930755e-06,2.2196892364293728e-05,5.793630845127703e-08
92,1.1702580769586611e-05,4.471465576486294e-06,1.4684305133650447e-05,3.638046924785878e-06,7.472267813763691e-06,5.781975054783883e-06
93,1.8771395015781316e-07,5.64330543287523e-06,-3.201222209096398e-06,6.654731155946693e-06,-3.098519899707571e-06,5.55518450363909e-06
94,1.0437983973227013e-05,1.2611684795208367e-05,1.1968963069565683e-05,1.5303262903115008e-05,1.9373331081640706e-05,1.2978867243894272e-06
95,-1.919880409106109e-06,1.488104948527787e-06,1.616340702575208e-06,1.0219127834032563e-05,1.4920807114847626e-05,1.5859203365355853e-06
96,1.195136889598616e-06,6.307916239844323e-06,1.617485608054302e-05,1.3097095229601858e-05,1.2236760919206079e-05,3.703223832166112e-06
97,1.3886392014016065e-05,1.3159243881545564e-05,2.4985532461742495e-05,8.64265846262569e-06,6.3144701850795245e-06,1.7781531829529163e-06
98,1.2558472405470527e-05,2.082144788342355e-05,1.1178146018866073e-05,1.649625353176153e-05,-1.554393491835543e-06,2.147412286156861e-07
99,2.2133181140953108e-05,1.9968060799887785e-05,2.373474116181597e-05,2.9175219830026494e-05,1.352523799949269e-05,6.385661440103229e-07
100,2.3942347866327875e-05,1.9804836617887474e-05,1.3666886102830096e-05,3.1370584228265564e-05,9.710882277112202e-06,6.066604492501183e-08
101,1.102160250993596e-05,2.400040027001861e-05,2.7164483902280015e-05,2.8649325778424565e-05,9.052161929884568e-06,5.98447559672043e-07
102,1.9747030219213917e-05,2.1504288278924796e-05,4.409926897661839e-05,2.448369188327522e-05,2.711076155665362e-05,7.040748750626383e-07
103,2.1900963548455586e-05,2.240826808989534e-05,4.00350055017816e-05,3.3369109079299695e-05,2.211969602413726e-05,9.53315285731674e-07
