node_ids,timestamps
960,8007.000000020464
960,8018.100000020504
960,8026.600000020535
960,8039.00000002058
960,8065.500000020676
960,8077.300000020719
960,8090.100000020766
960,8099.900000020802
960,8109.000000020835
960,8121.100000020879
960,8131.400000020916
960,8141.800000020954
960,8153.300000020996
960,8166.500000021044
960,8188.300000021123
960,8199.600000021026
960,8218.800000020747
960,8230.800000020572
960,8239.20000002045
960,8249.800000020296
960,8260.400000020141
960,8277.400000019894
960,8288.100000019738
960,8295.200000019635
960,8301.300000019546
960,8302.300000019532
960,8307.20000001946
960,8308.60000001944
960,8316.20000001933
960,8333.900000019072
960,8348.300000018862
960,8359.4000000187
960,8368.900000018562
960,8379.300000018411
960,8387.700000018289
960,8394.50000001819
960,8395.300000018178
960,8401.500000018088
960,8411.00000001795
960,8423.600000017766
960,8431.400000017653
960,8443.200000017481
960,8452.20000001735
960,8459.700000017241
960,8469.000000017106
960,8477.100000016988
960,8488.60000001682
984,8089.100000020762
984,8226.300000020638
984,8240.700000020428
984,8337.800000019015
984,8349.500000018845
984,8359.4000000187
984,8373.100000018501
984,8457.300000017276
984,8468.200000017117
961,8002.700000020448
961,8016.100000020497
961,8035.700000020568
961,8046.800000020608
961,8056.900000020645
961,8064.400000020672
961,8073.200000020704
961,8082.600000020739
961,8092.800000020776
961,8104.000000020816
961,8119.700000020874
961,8127.900000020903
961,8137.100000020937
961,8147.100000020973
961,8157.400000021011
961,8173.60000002107
961,8183.700000021106
961,8191.000000021133
961,8199.000000021035
961,8210.600000020866
961,8229.000000020598
961,8240.400000020432
961,8253.000000020249
961,8268.400000020025
961,8302.000000019536
961,8314.300000019357
961,8329.000000019143
961,8340.90000001897
961,8351.000000018823
961,8362.000000018663
961,8369.900000018548
961,8378.200000018427
961,8387.700000018289
961,8398.800000018127
961,8409.500000017972
961,8420.100000017817
961,8431.000000017659
961,8444.500000017462
961,8458.600000017257
961,8467.900000017122
961,8478.400000016969
961,8491.600000016777
985,8090.900000020769
985,8125.200000020894
985,8273.900000019945
985,8359.4000000187
985,8383.800000018346
985,8467.600000017126
985,8489.800000016803
