PNa,PNc,PV,SOM,VPSI,vpsi
0.014484356894553883,0.0084985835694051,0.01663306451612903,0.01141552511415525,0.01438168698681264,0.015715363339200403
0.016222479721900347,0.0113314447592068,0.012852822580645162,0.0121765601217656,0.0143319233640209,0.016092532059341212
0.020278099652375436,0.018413597733711047,0.017137096774193547,0.0167427701674277,0.01567554117939786,0.015463917525773196
0.02085747392815759,0.019830028328611898,0.015877016129032258,0.0167427701674277,0.015327195819855685,0.013829519738496355
0.02085747392815759,0.029745042492917848,0.015372983870967742,0.0106544901065449,0.01562577755660612,0.01835554438018607
0.023754345307068367,0.026912181303116147,0.018649193548387098,0.01598173515981735,0.015128141328688728,0.016972592406336435
0.016222479721900347,0.007082152974504249,0.019909274193548387,0.01293759512937595,0.015974122916148296,0.014583857178777974
0.015643105446118192,0.014164305949008499,0.015625,0.0182648401826484,0.017317740731525255,0.01873271310032688
0.023754345307068367,0.0113314447592068,0.02066532258064516,0.01598173515981735,0.014929086837521772,0.015463917525773196
0.02085747392815759,0.019830028328611898,0.017893145161290324,0.01141552511415525,0.016670813635232644,0.016721146592909228
0.01216685979142526,0.012747875354107648,0.018649193548387098,0.01902587519025875,0.01642199552127395,0.014835302992205179
0.01100811123986095,0.014164305949008499,0.021169354838709676,0.01293759512937595,0.01761632246827569,0.01760120693990445
0.020278099652375436,0.014164305949008499,0.018649193548387098,0.01750380517503805,0.016123413784523512,0.013200905204928337
0.017960602549246814,0.015580736543909348,0.021925403225806453,0.01902587519025875,0.01642199552127395,0.018481267286899673
0.01738122827346466,0.015580736543909348,0.01839717741935484,0.015220700152207,0.016073650161731776,0.015715363339200403
0.011587485515643106,0.018413597733711047,0.025201612903225805,0.0136986301369863,0.015974122916148296,0.01923560472718129
0.012746234067207415,0.007082152974504249,0.019909274193548387,0.0121765601217656,0.017168449863150036,0.013452351018355544
0.00869061413673233,0.019830028328611898,0.01940524193548387,0.0121765601217656,0.01766608609106743,0.015086748805632386
0.019698725376593278,0.012747875354107648,0.02217741935483871,0.02054794520547945,0.017914904205026127,0.01521247171234599
0.026651216685979143,0.015580736543909348,0.01965725806451613,0.0182648401826484,0.016670813635232644,0.01634397787276842
0.019698725376593278,0.0169971671388102,0.01940524193548387,0.01598173515981735,0.01816372231898482,0.01408096555192356
0.015643105446118192,0.015580736543909348,0.025453629032258066,0.02359208523592085,0.017914904205026127,0.01747548403319085
0.014484356894553883,0.015580736543909348,0.015877016129032258,0.01293759512937595,0.016919631749191342,0.01747548403319085
0.015643105446118192,0.015580736543909348,0.012852822580645162,0.0106544901065449,0.016023886538940036,0.017098315313050037
0.01216685979142526,0.012747875354107648,0.018145161290322582,0.01902587519025875,0.01647175914406569,0.013955242645209958
0.016801853997682505,0.014164305949008499,0.01663306451612903,0.01445966514459665,0.017516795222692214,0.01684686949962283
0.01100811123986095,0.014164305949008499,0.017389112903225805,0.015220700152207,0.01955710375715352,0.017098315313050037
0.016801853997682505,0.021246458923512748,0.015877016129032258,0.0197869101978691,0.016720577258024383,0.01596680915262761
0.012746234067207415,0.012747875354107648,0.016381048387096774,0.02207001522070015,0.016670813635232644,0.01646970077948202
