node_ids,timestamps
816,8112.200000020846
816,8208.800000020892
840,8076.000000020715
840,8102.9000000208125
864,8223.600000020677
864,8252.500000020256
864,8457.600000017272
864,8498.000000016684
888,8226.10000002064
888,8246.300000020346
888,8337.200000019024
888,8357.200000018733
817,8485.500000016866
841,8033.200000020559
841,8091.600000020771
841,8336.10000001904
841,8484.700000016877
841,8496.300000016709
865,8105.800000020823
865,8336.400000019035
865,8353.600000018785
818,8223.700000020675
818,8355.900000018752
818,8366.800000018593
818,8464.200000017176
818,8483.600000016893
842,8472.600000017053
843,8339.200000018995
843,8482.300000016912
867,8069.500000020691
867,8077.300000020719
867,8217.20000002077
867,8366.3000000186
891,8460.000000017237
891,8485.600000016864
844,8079.000000020726
844,8102.800000020812
844,8195.600000021084
844,8206.90000002092
844,8335.500000019048
844,8350.50000001883
844,8360.500000018685
844,8479.200000016957
844,8489.000000016815
868,8098.900000020798
892,8229.500000020591
892,8458.600000017257
821,8247.300000020332
821,8334.300000019066
821,8343.00000001894
821,8353.90000001878
821,8366.500000018597
821,8432.200000017641
821,8442.100000017497
821,8450.80000001737
821,8460.300000017232
821,8469.100000017104
821,8480.000000016946
869,8103.500000020815
869,8355.600000018756
869,8481.10000001693
822,8099.6000000208
822,8356.300000018746
822,8462.300000017203
870,8499.100000016668
823,8099.200000020799
823,8114.900000020856
823,8133.800000020925
823,8228.20000002061
871,8098.900000020798
800,8104.400000020818
800,8352.900000018795
800,8462.400000017202
800,8474.000000017033
800,8482.900000016904
824,8072.0000000207
824,8090.700000020768
824,8227.800000020616
824,8335.100000019054
824,8354.00000001878
848,8214.200000020814
848,8350.100000018836
848,8358.80000001871
848,8455.7000000173
848,8478.900000016962
801,8106.100000020824
825,8354.200000018776
825,8370.900000018533
825,8465.90000001715
825,8487.600000016835
849,8445.100000017454
849,8489.800000016803
873,8082.100000020737
873,8102.800000020812
873,8351.400000018817
873,8370.700000018536
873,8453.100000017337
873,8489.400000016809
802,8107.200000020828
802,8121.300000020879
802,8371.000000018532
802,8461.700000017212
826,8082.600000020739
826,8355.400000018759
850,8089.200000020763
850,8100.300000020803
850,8459.500000017244
850,8471.000000017077
874,8460.700000017227
803,8094.200000020781
803,8334.900000019057
803,8471.800000017065
827,8472.900000017049
851,8092.600000020775
851,8454.200000017321
851,8468.300000017116
851,8480.700000016936
851,8498.500000016676
875,8204.400000020956
875,8223.000000020686
875,8252.000000020264
875,8338.000000019012
875,8350.700000018827
875,8368.100000018574
875,8467.700000017125
875,8477.900000016976
875,8487.700000016834
828,8484.700000016877
852,8459.10000001725
876,8086.000000020751
876,8351.500000018816
876,8460.600000017228
876,8471.200000017074
876,8496.500000016706
805,8079.300000020727
805,8207.400000020913
805,8482.800000016905
829,8226.300000020638
829,8246.300000020346
853,8084.500000020746
853,8094.700000020783
853,8366.900000018592
853,8430.400000017667
877,8105.900000020823
877,8345.500000018903
877,8365.500000018612
877,8473.800000017036
806,8077.40000002072
806,8084.100000020744
806,8369.70000001855
806,8429.60000001768
806,8451.400000017362
806,8479.300000016956
854,8082.300000020738
854,8224.300000020667
854,8334.300000019066
854,8470.500000017084
878,8221.000000020715
878,8353.30000001879
878,8448.300000017407
878,8459.600000017243
878,8486.800000016847
807,8068.800000020688
807,8080.800000020732
807,8226.600000020633
807,8335.900000019043
807,8371.900000018519
807,8384.800000018331
807,8446.00000001744
807,8464.200000017176
807,8475.200000017016
807,8485.20000001687
831,8090.600000020768
831,8105.900000020823
831,8113.800000020852
831,8221.700000020704
831,8369.300000018557
831,8484.300000016883
855,8126.8000000208995
808,8078.900000020725
808,8090.400000020767
808,8484.300000016883
856,8459.400000017245
809,8088.700000020761
809,8360.700000018682
833,8094.200000020781
833,8367.200000018587
833,8458.200000017263
833,8484.800000016876
833,8496.20000001671
881,8355.900000018752
810,8371.400000018526
834,8335.000000019056
834,8346.000000018896
834,8358.400000018715
834,8485.100000016871
882,8247.300000020332
811,8121.40000002088
811,8458.800000017254
811,8471.40000001707
835,8027.400000020538
835,8079.600000020728
835,8103.300000020814
835,8117.400000020865
835,8124.900000020893
835,8227.700000020617
835,8498.600000016675
859,8229.700000020588
859,8462.400000017202
883,8336.900000019028
883,8471.700000017066
812,8107.000000020827
812,8365.500000018612
812,8459.10000001725
812,8471.100000017075
812,8482.700000016906
836,8104.100000020817
836,8493.200000016754
860,8463.500000017186
860,8484.800000016876
884,8124.800000020892
884,8222.600000020691
884,8248.000000020322
884,8335.500000019048
813,8360.300000018688
813,8368.000000018576
813,8483.500000016895
837,8118.400000020869
837,8217.800000020761
837,8232.200000020552
837,8245.600000020357
837,8353.700000018784
861,8462.600000017199
861,8480.900000016933
885,8090.500000020767
885,8108.900000020834
885,8372.50000001851
885,8467.700000017125
885,8484.400000016882
885,8499.60000001666
814,8103.800000020816
886,8335.900000019043
886,8346.600000018887
886,8360.500000018685
886,8469.500000017099
815,8090.400000020767
815,8229.400000020592
839,8092.000000020773
839,8112.700000020848
839,8356.400000018744
839,8463.500000017186
887,8108.900000020834
887,8230.500000020576
887,8456.600000017286
887,8467.700000017125
887,8483.80000001689
