PNa,PNc,PV,SOM,CR
0.27343750000000006,0.11718750000000003,0.008706630098820252,0.03501400560224092,0.08862629246676514
1.8652343749999996,0.27343749999999994,0.018864365214110543,0.03501400560224086,0.018799516583859276
1.4257812500000007,0.39062500000000017,0.02321768026352068,0.06127450980392152,0.002685645226265612
1.8749999999999982,0.8203124999999993,0.02611989029646075,0.08753501400560229,0.0
0.2734375000000001,0.8203125000000003,0.02321768026352066,0.03501400560224092,0.0
0.2929687500000001,1.3671875000000007,0.018864365214110553,0.12254901960784303,0.0
0.16601562499999983,1.132812499999999,0.0029022100329400826,0.02626050420168065,0.0
0.058593750000000035,0.5468750000000002,0.005804420065880176,0.03501400560224086,0.0
0.009765625000000005,0.5468750000000002,0.005804420065880159,0.0,0.0
0.009765624999999991,0.23437499999999978,0.0014511050164700424,0.008753501400560216,0.03759903316771849
