PNa,PNc,PV,SOM,CR
25.609756097560975,18.91891891891892,20.37037037037037,0.20639834881320954,0.07810804946843133
0.0,0.0,0.0,0.30959752321981393,0.0
0.0,0.0,0.0,0.4127966976264191,0.0
6.300813008130082,13.513513513513514,11.11111111111111,0.6191950464396286,0.0
0.0,0.0,0.0,1.0319917440660478,0.0
0.0,0.0,0.0,0.7223942208462334,0.0
0.8130081300813001,0.0,0.9259259259259252,1.2383900928792544,0.0
0.0,0.0,0.0,0.30959752321981504,0.0
0.0,0.0,0.0,0.0,0.0
0.6097560975609774,0.9009009009009035,0.9259259259259286,0.4127966976264191,0.04122369277500538
