x,y
-3.141592653589793,-1.0
-3.12901370402587,-0.9999208860571255
-3.116434754461947,-0.9996835567465339
-3.103855804898024,-0.99928804962034
-3.0912768553341006,-0.9987344272588006
-3.0786979057701775,-0.9980227772604111
-3.0661189562062545,-0.9971532122280464
-3.0535400066423315,-0.9961258697511429
-3.0409610570784085,-0.9949409123839288
-3.0283821075144854,-0.9935985276197029
-3.015803157950562,-0.9920989278611684
-3.003224208386639,-0.9904423503868246
-2.990645258822716,-0.9886290573134227
-2.978066309258793,-0.986659335554492
-2.96548735969487,-0.984533496774942
-2.952908410130947,-0.9822518773417481
-2.940329460567024,-0.9798148382707295
-2.9277505110031004,-0.9772227651694255
-2.9151715614391773,-0.9744760681760832
-2.9025926118752543,-0.9715751818947602
-2.8900136623113313,-0.9685205653265598
-2.8774347127474083,-0.9653127017970033
-2.864855763183485,-0.9619520988795547
-2.8522768136195618,-0.9584392883153086
-2.8396978640556387,-0.9547748259288535
-2.8271189144917157,-0.9509592915403253
-2.8145399649277927,-0.9469932888736633
-2.8019610153638697,-0.9428774454610842
-2.7893820657999466,-0.9386124125437894
-2.7768031162360236,-0.9341988649689199
-2.7642241666721,-0.9296375010827771
-2.751645217108177,-0.924929042620325
-2.739066267544254,-0.9200742345909912
-2.726487317980331,-0.915073845160786
-2.713908368416408,-0.9099286655307568
-2.7013294188524846,-0.904639509811798
-2.6887504692885615,-0.8992072148958367
-2.6761715197246385,-0.8936326403234122
-2.6635925701607155,-0.8879166681476729
-2.6510136205967925,-0.8820602027948113
-2.6384346710328694,-0.8760641709209582
-2.6258557214689464,-0.8699295212655597
-2.6132767719050234,-0.8636572245012607
-2.6006978223411,-0.8572482730803167
-2.588118872777177,-0.8507036810775614
-2.575539923213254,-0.8440244840299503
-2.562960973649331,-0.8372117387727107
-2.550382024085408,-0.8302665232721208
-2.5378030745214843,-0.8231899364549451
-2.5252241249575613,-0.8159830980345545
-2.5126451753936383,-0.8086471483337548
-2.5000662258297153,-0.8011832481043575
-2.4874872762657922,-0.7935925783435148
-2.474908326701869,-0.7858763401068549
-2.462329377137946,-0.7780357543184396
-2.449750427574023,-0.7700720615775813
