timestamps,node_ids
9036.000000008857,936
9470.00000000254,936
9046.00000000871,960
9231.600000006008,960
9298.000000005042,960
9318.500000004744,960
9323.300000004674,984
9398.000000003589,984
9468.200000002566,984
9493.4000000022,984
9706.899999999092,504
9567.000000001128,840
9819.599999997452,936
9830.899999997288,936
9510.900000001944,960
9683.599999999433,960
9610.600000000491,984
10303.399999990412,336
10069.499999993815,576
10443.999999988366,864
10103.49999999332,888
10186.899999992109,888
10095.699999993434,960
10131.399999992916,960
10160.499999992491,960
10410.899999988847,960
10049.699999994104,984
10093.599999993465,984
10304.499999990396,984
10803.699999983131,48
10754.099999983851,192
10599.899999986095,624
10599.999999986096,816
10623.999999985746,816
10653.19999998532,816
10835.499999982669,840
10509.999999987403,864
10551.999999986794,864
10667.999999985106,864
10747.599999983948,864
10577.199999986427,912
10724.399999984284,936
10868.39999998219,960
10608.199999985976,984
10760.699999983755,984
10790.399999983323,984
10991.099999980404,984
11228.899999976944,864
11043.499999979642,912
11243.499999976731,912
11499.699999973003,960
11751.39999996934,0
11916.899999966932,216
11536.29999997247,864
11613.799999971345,864
11653.699999970762,864
11517.599999972745,888
11609.8999999714,888
11623.5999999712,888
11654.59999997075,888
11743.09999996946,888
11624.29999997119,912
11810.299999968483,912
11692.3999999702,936
11903.699999967124,936
11613.99999997134,960
11666.599999970576,960
11729.599999969658,960
11941.19999996658,984
11953.699999966397,984
12389.499999960057,912
12427.499999959502,936
12485.39999995866,936
12057.29999996489,960
12071.199999964689,960
12155.59999996346,984
12987.09999995136,672
12505.499999958369,912
12783.899999954316,912
12926.199999952243,936
12546.399999957772,984
12713.299999955345,984
13006.29999995108,888
13062.999999950254,912
13131.099999949263,912
13255.69999994745,912
13349.099999946093,936
13437.999999944795,936
13453.59999994457,936
13114.7999999495,960
13379.099999945654,960
13476.599999944236,960
13236.799999947723,984
13387.999999945525,984
13841.099999938931,0
13971.399999937035,816
13882.199999938332,864
13699.59999994099,888
13602.6999999424,912
13573.999999942818,936
13743.999999940344,960
13568.899999942892,984
14220.49999993341,456
14258.699999932856,816
14059.399999935757,864
14100.29999993516,864
14074.299999935538,936
14208.79999993358,936
14042.499999936,960
14259.499999932845,960
14303.499999932204,984
14804.899999924906,240
14675.999999926782,912
14924.099999923172,912
14585.599999928098,960
14713.599999926237,960
14759.99999992556,960
14513.599999929143,984
14777.599999925304,984
14987.999999922242,984
5130.000000009997,49
5446.100000011147,409
5060.400000009744,553
5326.700000010713,817
5350.900000010801,817
5482.200000011279,817
5096.900000009877,889
5212.500000010297,961
5269.600000010505,961
5415.900000011037,961
5074.200000009794,985
5137.600000010025,985
5207.900000010281,985
5352.600000010807,985
5450.000000011161,985
5904.700000012816,217
5910.000000012835,601
5590.800000011674,673
5698.800000012066,793
5622.200000011788,817
5638.300000011846,817
5754.400000012269,865
5964.300000013032,865
5578.90000001163,889
5648.000000011882,889
5694.40000001205,889
5723.900000012158,889
5602.200000011715,913
5626.600000011804,913
5624.6000000117965,961
5895.600000012782,961
5603.7000000117205,985
5910.100000012835,985
5985.000000013108,985
6263.900000014122,25
6195.300000013873,481
6449.200000014796,577
6124.900000013617,817
6350.200000014436,841
6210.9000000139295,889
6254.100000014087,889
6457.300000014826,889
6483.000000014919,889
6242.900000014046,913
6201.000000013893,937
6041.200000013312,961
6419.500000014688,961
6098.500000013521,985
6262.500000014117,985
6351.600000014441,985
6570.300000015237,841
6705.000000015727,889
6717.5000000157725,889
6738.500000015849,889
6767.900000015956,889
6822.300000016154,889
6885.000000016382,889
6899.300000016434,913
6978.600000016722,937
6528.800000015086,961
6596.500000015332,961
6970.700000016694,961
6941.300000016587,985
7351.200000018078,241
7353.500000018086,793
7322.900000017975,817
7456.1000000184595,817
7259.900000017746,865
7359.700000018109,865
7328.600000017996,889
7352.400000018082,889
7367.800000018138,889
7413.100000018303,889
7115.50000001722,913
7141.200000017314,913
7161.000000017386,961
7262.900000017757,961
7321.60000001797,961
7319.100000017961,985
7357.000000018099,985
7973.900000020343,265
7599.000000018979,601
7621.000000019059,769
7568.90000001887,817
7591.400000018952,817
7613.00000001903,817
7654.10000001918,817
7705.900000019368,817
7944.100000020235,841
7993.300000020414,841
7800.100000019711,889
7646.400000019152,913
7890.800000020041,913
7924.600000020164,913
7987.900000020394,913
7721.900000019426,937
7635.600000019112,961
7963.500000020305,961
7974.700000020346,961
7516.60000001868,985
7574.000000018888,985
7663.1000000192125,985
7840.500000019858,985
8350.300000018833,145
8334.800000019059,337
8098.400000020796,361
8343.800000018928,505
8448.8000000174,529
8098.100000020795,841
8172.700000021066,913
8456.500000017288,913
8352.400000018803,937
8047.000000020609,961
8323.70000001922,961
8378.400000018424,961
8004.5000000204545,985
8043.900000020598,985
8155.000000021002,985
8273.000000019958,985
8385.300000018324,985
8801.30000001227,817
8818.800000012016,817
8924.900000010472,817
8608.700000015073,841
8619.800000014911,841
8729.300000013318,841
8963.50000000991,841
8566.900000015681,865
8517.100000016406,889
8580.00000001549,889
8730.100000013306,889
8930.300000010393,889
8830.80000001184,913
8890.100000010978,961
8568.100000015664,985
8621.400000014888,985
8687.30000001393,985
9163.800000006995,289
9319.800000004723,601
9470.100000002538,649
9339.200000004445,817
9033.000000008898,865
9287.300000005198,889
9365.700000004055,889
9150.500000007189,913
9030.80000000893,961
9299.200000005025,961
9341.100000004417,961
9377.100000003891,961
9474.600000002472,961
9487.600000002283,961
9364.400000004076,985
9384.70000000378,985
9916.099999996048,697
9903.999999996224,769
9747.699999998498,817
9871.99999999669,817
9920.599999995982,817
9956.199999995464,841
9703.59999999914,865
9760.099999998318,865
9824.099999997386,865
9608.80000000052,889
9825.399999997368,961
9883.399999996524,985
9932.099999995817,985
10401.69999998898,457
10391.699999989129,865
10306.29999999037,913
10413.49999998881,913
10441.899999988396,913
10395.899999989066,937
10106.099999993285,961
10185.699999992125,985
10197.199999991955,985
10249.599999991196,985
10517.1999999873,817
10513.999999987347,865
10620.199999985802,913
10846.899999982505,937
10569.899999986534,961
10714.199999984434,985
10735.69999998412,985
11116.39999997858,1
11220.89999997706,433
11228.49999997695,697
11234.099999976868,817
11347.899999975212,865
11429.699999974022,865
11126.79999997843,889
11358.899999975052,889
11111.69999997865,913
11239.699999976789,937
11179.399999977664,961
11363.099999974993,961
11090.599999978956,985
11188.299999977537,985
11686.999999970278,817
11526.09999997262,841
11617.799999971285,889
11731.49999996963,913
11654.799999970746,961
11965.19999996623,961
11507.199999972894,985
11519.599999972714,985
11715.199999969867,985
12049.499999965004,241
12064.199999964789,601
12390.59999996004,601
12166.5999999633,889
12424.19999995955,937
12381.199999960176,961
12172.69999996321,985
12532.199999957978,913
12586.599999957189,937
12857.89999995324,937
12923.79999995228,937
12554.899999957648,961
12825.899999953705,961
12658.199999956145,985
12778.399999954396,985
12900.299999952622,985
13404.19999994529,385
13319.59999994652,889
13088.999999949876,913
13050.29999995044,937
13441.499999944746,937
13000.69999995116,985
13111.299999949551,985
13603.699999942386,25
13864.999999938584,577
13609.199999942306,913
13755.99999994017,937
13768.899999939982,937
13701.69999994096,961
13920.89999993777,961
13704.599999940918,985
13715.599999940758,985
13779.599999939826,985
14258.499999932856,193
14236.099999933183,217
14300.699999932243,817
14273.899999932632,913
14288.199999932423,913
14078.399999935478,937
14230.499999933263,961
14428.499999930384,961
14461.6999999299,961
14007.099999936516,985
14780.699999925258,361
14768.599999925436,505
14522.19999992902,937
14568.499999928346,937
14685.69999992664,961
14786.899999925168,961
14932.699999923048,985
5340.500000010763,218
5283.600000010556,818
5195.000000010234,866
5479.300000011268,866
5312.10000001066,890
5347.600000010789,890
5447.600000011153,890
5477.600000011262,914
5268.900000010503,962
5068.800000009775,986
5353.800000010811,986
5906.700000012823,290
5749.4000000122505,482
5875.400000012709,698
5706.200000012093,818
5747.700000012244,842
5835.900000012565,842
5604.000000011722,866
5648.300000011883,890
5755.500000012273,890
5735.100000012199,914
