x_axis_frequency,case1,case2,case3,case4,case5,case6
41,1.8438657794483917e-05,4.466542844576664e-06,7.369180645496483e-06,-3.1059553755622003e-06,2.478676891585635e-05,2.8378223827821005e-06
42,-3.04163478032391e-06,-4.595761506479957e-06,2.0711034369476e-06,-7.399482629674072e-06,1.907553485232534e-05,-2.811993937590226e-07
43,7.274414344893958e-06,-1.2040889078279939e-05,-4.391813600629867e-06,-7.992641572858927e-06,4.7055608719878596e-05,3.5680569787704385e-06
44,2.701279558125984e-06,-3.581863763807538e-06,-7.242314699982561e-06,-5.295719743214719e-06,2.9626888537478326e-05,2.722223589350382e-06
45,8.978430056889983e-06,2.1858032413566954e-06,-1.253731473094487e-06,1.124464274564355e-07,2.0799653724370313e-05,-4.62567399190056e-07
46,1.6877031833630473e-05,6.202424777414241e-06,2.471127282935335e-05,2.5780669923580345e-06,2.6212851635955922e-05,1.386604574739548e-07
47,2.4192948943931444e-05,4.3798814081805185e-06,1.4855499948802463e-05,-1.3995523145460471e-06,1.7946239561158014e-05,-9.500939568047263e-07
48,2.8039944580283193e-05,6.0946806799211155e-06,2.689607310894493e-06,3.402687279977049e-06,2.053260345556302e-05,4.462149500587522e-06
49,4.252276507025851e-05,-3.4337676365967906e-07,3.436874585503044e-06,6.715585847962445e-06,3.9025196292878687e-05,6.595769345686156e-06
50,3.937822262242037e-05,4.557893774521028e-06,2.006130627732337e-05,6.676641654047653e-06,3.432172363914847e-05,1.2565160146342931e-05
51,3.0848942593409955e-06,-2.203374308465173e-06,9.37756891526125e-06,2.0578376282295567e-06,2.810110385201605e-06,5.960304456444553e-06
52,2.8413916243381717e-06,-1.1557654121390742e-05,-2.2683847442536676e-06,-2.447192791848243e-06,8.48386741287538e-06,2.4220833063391133e-07
53,-2.3885850994931525e-06,-9.45476510556567e-06,-1.3993633020772634e-05,3.578974443282448e-07,9.810696948801008e-06,-6.900225993962044e-07
54,4.320121049240082e-06,-4.776827922973078e-06,-9.418936744234641e-06,3.749911750143767e-06,9.638361504820766e-06,2.599415730224629e-06
