timestamps,node_ids
5091.500000009857,48
5216.10000001031,144
5207.200000010278,168
5485.000000011289,192
5454.600000011178,216
5217.700000010316,288
5238.900000010393,576
5386.800000010931,576
5490.500000011309,624
5312.30000001066,816
5355.000000010816,816
5081.900000009822,840
5224.20000001034,840
5231.800000010368,840
5242.500000010406,840
5445.400000011145,840
5458.700000011193,840
5469.200000011231,840
5481.000000011274,840
5206.300000010275,864
5221.40000001033,864
5233.100000010372,864
5370.100000010871,864
5407.800000011008,864
5206.400000010275,888
5215.90000001031,888
5231.400000010366,888
5238.600000010392,888
5330.900000010728,888
5454.900000011179,888
5463.700000011211,888
5004.100000009539,912
5058.300000009736,912
5075.500000009799,912
5087.100000009841,912
5191.4000000102205,912
5203.000000010263,912
5214.500000010305,912
5224.700000010342,912
5317.80000001068,912
5328.80000001072,912
5339.70000001076,912
5349.600000010796,912
5358.700000010829,912
5368.300000010864,912
5379.800000010906,912
5392.100000010951,912
5404.800000010997,912
5444.500000011141,912
5455.700000011182,912
5468.200000011228,912
5479.400000011268,912
5489.800000011306,912
5130.600000009999,936
5197.400000010242,936
5208.500000010283,936
5219.700000010324,936
5230.100000010361,936
5367.900000010863,936
5460.100000011198,936
5473.000000011245,936
5487.500000011298,936
5000.600000009526,960
5023.100000009608,960
5040.400000009671,960
5051.700000009712,960
5062.200000009751,960
5072.300000009787,960
5080.200000009816,960
5087.000000009841,960
5093.900000009866,960
5102.300000009896,960
5117.200000009951,960
5134.100000010012,960
5141.400000010039,960
5149.6000000100685,960
5160.000000010106,960
5170.100000010143,960
5185.300000010198,960
5210.50000001029,960
5238.400000010392,960
5260.900000010473,960
5279.000000010539,960
5296.200000010602,960
5306.900000010641,960
5316.300000010675,960
5331.600000010731,960
5341.400000010766,960
5349.100000010794,960
5360.100000010834,960
5366.900000010859,960
5375.700000010891,960
5383.900000010921,960
5394.200000010958,960
5404.100000010994,960
5416.8000000110405,960
5443.900000011139,960
5460.900000011201,960
5473.300000011246,960
5483.400000011283,960
5497.900000011336,960
5115.700000009945,984
5127.9000000099895,984
5176.400000010166,984
5225.100000010343,984
5349.700000010796,984
5427.200000011078,984
5466.300000011221,984
5479.000000011267,984
5812.9000000124815,0
5980.10000001309,144
5595.500000011691,312
5588.900000011667,384
5597.300000011697,480
5709.500000012105,576
5986.400000013113,576
5808.000000012464,624
5950.500000012982,648
5721.80000001215,720
5809.80000001247,720
5998.400000013156,744
5700.300000012072,792
5506.000000011365,840
5690.800000012037,840
5717.900000012136,840
5731.300000012185,840
5856.200000012639,840
5867.000000012678,840
5947.10000001297,840
5958.600000013012,840
5974.900000013071,840
5982.8000000131,840
5992.800000013136,840
5563.800000011575,864
5601.700000011713,864
5623.200000011791,864
5635.500000011836,864
5702.50000001208,864
5717.200000012133,864
5728.700000012175,864
5756.900000012278,864
5788.300000012392,864
5814.800000012488,864
5833.300000012556,864
5853.400000012629,864
5866.5000000126765,864
5875.100000012708,864
5926.100000012893,864
5979.700000013088,864
5999.000000013159,864
5631.700000011822,888
5756.500000012276,888
5815.700000012492,888
5836.000000012566,888
5849.400000012614,888
5858.000000012646,888
5867.700000012681,888
5876.800000012714,888
