node_ids,timestamps
696,8240.100000020437
768,8208.100000020902
745,8245.200000020362
769,8095.100000020784
795,8077.40000002072
700,8462.100000017206
748,8476.700000016994
796,8487.400000016838
653,8084.600000020746
677,8102.9000000208125
774,8381.900000018373
655,8073.500000020706
655,8332.400000019094
679,8222.200000020697
680,8295.100000019636
680,8425.600000017737
704,8076.5000000207165
752,8091.900000020772
776,8464.900000017165
705,8351.300000018819
729,8330.800000019117
658,8328.700000019147
754,8140.80000002095
659,8063.000000020667
731,8073.500000020706
661,8227.100000020626
759,8455.300000017305
783,8062.800000020667
783,8382.600000018363
688,8356.400000018744
736,8235.7000000205
784,8068.100000020686
786,8168.400000021051
692,8481.300000016927
716,8479.70000001695
740,8349.700000018842
764,8107.3000000208285
645,8220.400000020723
717,8377.200000018442
742,8313.700000019366
743,8211.400000020854
791,8225.900000020643
