node_ids,timestamps
912,8235.8000000205
912,8346.600000018887
912,8357.200000018733
912,8370.000000018546
912,8471.800000017065
936,8128.200000020905
936,8161.000000021024
936,8227.800000020616
936,8340.400000018977
936,8357.000000018736
936,8368.800000018564
936,8469.000000017106
913,8231.400000020563
937,8102.30000002081
937,8114.000000020853
937,8131.2000000209155
937,8254.100000020233
937,8360.500000018685
937,8372.200000018514
914,8153.800000020998
914,8357.700000018725
938,8007.300000020465
938,8087.600000020757
938,8097.900000020794
938,8110.200000020839
938,8122.500000020884
938,8353.400000018788
938,8364.000000018634
938,8374.60000001848
938,8470.700000017081
938,8483.300000016898
938,8498.100000016682
915,8013.000000020485
915,8254.100000020233
915,8490.800000016789
939,8109.400000020836
939,8125.300000020894
939,8264.800000020077
939,8363.700000018638
939,8375.30000001847
939,8388.200000018282
939,8468.400000017115
916,8010.100000020475
916,8092.100000020773
916,8118.300000020868
916,8355.600000018756
916,8367.600000018581
916,8382.700000018362
916,8473.800000017036
916,8488.900000016816
940,8363.400000018642
940,8470.200000017088
940,8482.800000016905
940,8495.100000016726
893,8004.5000000204545
893,8338.400000019006
893,8355.600000018756
893,8374.400000018482
893,8469.500000017099
893,8483.000000016902
917,8103.900000020816
917,8116.00000002086
917,8128.200000020905
917,8233.500000020533
917,8247.100000020335
917,8360.400000018686
917,8372.600000018509
917,8386.600000018305
917,8482.100000016915
941,8269.000000020016
941,8370.200000018544
941,8471.200000017074
941,8481.600000016922
941,8492.600000016762
894,8094.200000020781
894,8109.400000020836
894,8358.900000018708
894,8371.000000018532
894,8386.700000018303
894,8467.400000017129
894,8487.200000016841
918,8104.100000020817
918,8342.200000018951
918,8354.100000018778
918,8366.600000018596
918,8377.200000018442
918,8468.900000017107
918,8482.800000016905
942,8359.300000018702
895,8226.400000020636
895,8364.20000001863
895,8375.30000001847
919,8348.200000018864
919,8361.100000018676
943,8007.900000020467
943,8084.500000020746
943,8374.500000018481
943,8388.600000018276
943,8461.90000001721
943,8474.20000001703
943,8486.700000016848
896,8249.5000000203
896,8275.400000019923
896,8365.60000001861
896,8378.400000018424
896,8462.100000017206
896,8473.900000017034
896,8485.600000016864
896,8498.700000016674
920,8008.9000000204705
920,8093.200000020777
920,8126.200000020897
920,8232.000000020555
920,8251.200000020275
920,8358.70000001871
920,8371.10000001853
920,8384.20000001834
920,8461.400000017216
920,8472.400000017056
920,8483.400000016896
920,8499.00000001667
897,8376.400000018453
897,8446.900000017427
897,8459.000000017251
897,8473.800000017036
897,8486.60000001685
921,8011.9000000204815
921,8093.000000020776
921,8105.700000020823
921,8341.700000018958
921,8355.900000018752
921,8370.40000001854
921,8472.700000017052
898,8252.100000020262
898,8343.500000018932
898,8355.100000018763
898,8364.20000001863
898,8373.2000000185
898,8386.700000018303
922,8090.700000020768
922,8104.600000020819
922,8347.600000018872
922,8357.100000018734
922,8369.000000018561
922,8471.000000017077
922,8482.700000016906
922,8493.100000016755
899,8352.800000018797
899,8364.20000001863
899,8374.900000018475
899,8393.500000018204
923,8256.500000020198
923,8365.400000018613
923,8377.200000018442
923,8490.100000016799
900,8112.300000020847
900,8351.90000001881
900,8364.800000018622
900,8375.500000018466
900,8387.300000018295
924,8249.800000020296
924,8264.800000020077
924,8463.400000017187
924,8474.100000017032
924,8485.500000016866
901,8366.000000018605
901,8377.400000018439
901,8388.700000018274
901,8462.300000017203
901,8474.100000017032
925,8209.900000020876
925,8229.500000020591
925,8365.400000018613
925,8377.900000018431
925,8462.5000000172
925,8473.900000017034
925,8489.800000016803
902,8008.100000020468
902,8221.800000020703
902,8372.100000018516
902,8467.200000017132
902,8477.100000016988
902,8488.00000001683
926,8085.900000020751
926,8229.300000020594
926,8351.500000018816
926,8366.400000018599
926,8470.600000017082
926,8481.000000016931
926,8492.70000001676
903,8384.20000001834
903,8475.100000017017
903,8487.000000016844
903,8499.800000016658
927,8005.000000020456
927,8082.90000002074
927,8102.9000000208125
927,8357.500000018728
927,8475.300000017014
927,8487.90000001683
904,8086.300000020752
904,8099.4000000208
904,8115.100000020857
904,8463.100000017192
904,8473.300000017043
904,8485.300000016869
928,8002.500000020447
928,8131.500000020917
928,8337.50000001902
928,8352.000000018808
928,8366.600000018596
928,8380.200000018398
928,8392.200000018223
928,8490.800000016789
905,8337.600000019018
905,8350.50000001883
905,8367.400000018584
905,8392.800000018215
905,8478.000000016975
929,8013.300000020487
929,8362.800000018651
929,8468.00000001712
929,8479.900000016947
929,8491.500000016778
906,8113.10000002085
906,8124.6000000208915
906,8145.900000020969
906,8230.000000020584
906,8241.600000020415
906,8253.000000020249
906,8463.600000017184
906,8473.900000017034
906,8483.900000016889
906,8493.900000016743
930,8103.300000020814
930,8356.100000018749
930,8369.80000001855
930,8387.900000018286
907,8253.500000020242
907,8303.700000019511
907,8359.4000000187
907,8467.900000017122
907,8480.500000016938
931,8105.700000020823
931,8119.800000020874
931,8358.10000001872
931,8371.300000018527
931,8385.100000018327
931,8462.5000000172
908,8003.800000020452
908,8094.00000002078
908,8110.000000020838
908,8339.700000018987
908,8352.100000018807
908,8363.000000018648
908,8377.000000018445
908,8477.800000016978
908,8489.100000016813
932,8086.700000020754
932,8099.200000020799
932,8113.600000020851
932,8125.300000020894
932,8139.000000020944
932,8253.800000020237
932,8266.300000020055
932,8348.200000018864
932,8359.100000018705
932,8388.200000018282
932,8494.300000016738
909,8114.600000020855
909,8127.300000020901
909,8140.900000020951
909,8361.200000018674
909,8491.900000016773
933,8011.000000020478
933,8025.800000020532
933,8356.100000018749
933,8368.800000018564
933,8386.800000018302
910,8088.800000020761
910,8101.100000020806
910,8122.300000020883
910,8359.000000018706
910,8374.500000018481
910,8387.800000018287
910,8463.600000017184
910,8474.800000017021
910,8485.400000016867
934,8350.50000001883
934,8362.000000018663
934,8373.300000018498
934,8491.200000016783
911,8099.200000020799
911,8146.10000002097
911,8248.700000020312
911,8466.400000017144
911,8477.70000001698
911,8489.100000016813
935,8013.400000020487
935,8034.400000020563
935,8085.400000020749
935,8154.300000020999
935,8347.10000001888
935,8359.100000018705
935,8373.000000018503
